title,price,manufacturing_year,mileage,color,fuel,hp,eurostandard,cubic_capacity,gearbox,type,region,url
Mercedes-Benz GLE 450 4-Matic,160 100 лв.,март 2022 г.,21 000,Черен,Бензинов,367,6,2999,автоматична,Джип,София,https://www.mobile.bg/obiava-21732648942343524-mercedes-benz-gle-450-4-matic
Mercedes-Benz GLE 300d 4Matic = AMG Line Advanced Plus= Гаранция,145 420 лв.,април 2024 г.,18 000,Сив,Дизелов,272,6,,автоматична,Джип,София,https://www.mobile.bg/obiava-21740580528816272-mercedes-benz-gle-300d-4matic-amg-line-advanced-plus-garantsiya
Mercedes-Benz GLE 300d 4Matic Coupe = AMG Line AdvancedPlus= Гаранци,159 500 лв.,февруари 2024 г.,15 500,Черен,Дизелов,272,6,,автоматична,Джип,София,https://www.mobile.bg/obiava-21740580403540590-mercedes-benz-gle-300d-4matic-coupe-amg-line-advancedplus-garantsi
Mercedes-Benz GLE Coupe 300d 4 Matic AMG Burmaster,191 670 лв.,януари 2025 г.,30,Т.зелен,Дизелов,292,6,1993,автоматична,Джип,София,https://www.mobile.bg/obiava-21736346724359643-mercedes-benz-gle-coupe-300d-4-matic-amg-burmaster
Mercedes-Benz GLE 3700лв месечна вноска оперативен лизинг,Запитване,април 2020 г.,30 000,,Дизелов,,,,автоматична,Джип,София,https://www.mobile.bg/obiava-21643107093346721-mercedes-benz-gle-3700lv-mesechna-vnoska-operativen-lizing
Mercedes-Benz GLE,Запитване,април 2021 г.,12 345,,Бензинов,,,,автоматична,Джип,Перник,https://www.mobile.bg/obiava-21723794454590971-mercedes-benz-gle
Mercedes-Benz GLE 250 4 MATIC,37 000 лв.,януари 2016 г.,270 000,Тъмно син мет.,Дизелов,204,6,,автоматична,Джип,Видин,https://www.mobile.bg/obiava-21735205863419416-mercedes-benz-gle-250-4-matic
Mercedes-Benz GLE 250 AMG OPTIK-SPORT-MONITORI-DVD-LED-BIXENON-!!!,37 444 лв.,май 2017 г.,191 334,Черен,Дизелов,,6,,автоматична,Джип,Пазарджик,https://www.mobile.bg/obiava-21731875852256880-mercedes-benz-gle-250-amg-optik-sport-monitori-dvd-led-bixenon
Mercedes-Benz GLE 250 КАМЕРА-ПОДГРЕВ-LED-ЕЛ БАГАЖНИК-2.2cdi 204hp,39 500 лв.,март 2016 г.,234 600,Тъмно сив,Дизелов,204,6,2200,автоматична,Джип,София,https://www.mobile.bg/obiava-21738151811268589-mercedes-benz-gle-250-kamera-podgrev-led-el-bagazhnik-2-2cdi-204hp
Mercedes-Benz GLE 250 2.2CDI,41 000 лв.,септември 2016 г.,221 000,Бял,Дизелов,204,6,2200,автоматична,Джип,Варна,https://www.mobile.bg/obiava-21711700674181571-mercedes-benz-gle-250-2-2cdi
