title,price,manufacturing_year,mileage,color,fuel,hp,type,region,url,is_amg
mercedes-benz gle 53 4matic amg+ laser night pano 22  burmester,129900,2020,97000,сив,бензинов,435.0,джип,варна,https://www.mobile.bg/obiava-21684081510198684-mercedes-benz-gle-53-4matic-amg-laser-night-pano-22-burmester,1
mercedes-benz gle 53 4matic amg,130000,2022,46000,бял,бензинов,435.0,джип,софия,https://www.mobile.bg/obiava-21710612344626623-mercedes-benz-gle-53-4matic-amg,1
mercedes-benz gle 53 4matic amg| night package| pano| performance exhaust,134999,2020,140824,бял,бензинов,435.0,джип,софия,https://www.mobile.bg/obiava-21739717447563626-mercedes-benz-gle-53-4matic-amg-night-package-pano-performance-exhaust,1
mercedes-benz gle 53 4matic burmester* pano* подгрев,115638,2020,141435,сив,бензинов,435.0,джип,софия,https://www.mobile.bg/obiava-21738766310272688-mercedes-benz-gle-53-4matic-burmester-pano-podgrev,0
"mercedes-benz gle 53 4matic amg, лизинг",139000,2020,61800,черен,бензинов,435.0,джип,пазарджик,https://www.mobile.bg/obiava-21722874677275487-mercedes-benz-gle-53-4matic-amg-lizing,1
mercedes-benz gle 53 4matic amg,139000,2020,96000,тъмно сив,бензинов,435.0,джип,софия,https://www.mobile.bg/obiava-21703672500913109-mercedes-benz-gle-53-4matic-amg,1
mercedes-benz gle 53 4matic 4matic+ amg eq boost,139000,2021,51800,син,бензинов,435.0,джип,софия,https://www.mobile.bg/obiava-21739612441722233-mercedes-benz-gle-53-4matic-4matic-amg-eq-boost,1
mercedes-benz gle 53 4matic coupe eq boost exclusive night package,144999,2020,109581,сив,бензинов,435.0,купе,софия,https://www.mobile.bg/obiava-21737987287098105-mercedes-benz-gle-53-4matic-coupe-eq-boost-exclusive-night-package,0
mercedes-benz gle 53 4matic coupe/full/лизинг,147000,2021,75000,сив,бензинов,435.0,купе,софия,https://www.mobile.bg/obiava-21731519470233914-mercedes-benz-gle-53-4matic-coupe-full-lizing,0
mercedes-benz gle 53 4matic,123999,2021,130000,син,бензинов,435.0,джип,софия,https://www.mobile.bg/obiava-21734683671324844-mercedes-benz-gle-53-4matic,0
mercedes-benz gle 53 4matic амг/burm/обдух/панор/масаж/ нова/топ!!!,149000,2021,36000,бял,бензинов,435.0,джип,благоевград,https://www.mobile.bg/obiava-21737402310052997-mercedes-benz-gle-53-4matic-amg-burm-obduh-panor-masazh-nova-top,0
mercedes-benz gle 53 4matic amg в гаранция до 11.2025г.,149900,2021,59973,черен,бензинов,435.0,джип,русе,https://www.mobile.bg/obiava-21733572371424543-mercedes-benz-gle-53-4matic-amg-v-garantsiya-do-11-2025g,1
mercedes-benz gle 53 4matic amg* 4m+ * distr* pano* led* 360cam*,128880,2021,78100,бял,бензинов,435.0,джип,софия,https://www.mobile.bg/obiava-21740657058415377-mercedes-benz-gle-53-4matic-amg-4m-distr-pano-led-360cam,1
mercedes-benz gle 53 4matic head up* 4matic+ coupe,155000,2020,44000,червен,бензинов,435.0,купе,софия,https://www.mobile.bg/obiava-21732530899012977-mercedes-benz-gle-53-4matic-head-up-4matic-coupe,0
mercedes-benz gle 53 4matic amg,160000,2023,94000,черен,бензинов,435.0,джип,ямбол,https://www.mobile.bg/obiava-21738140973780476-mercedes-benz-gle-53-4matic-amg,1
mercedes-benz gle 53 4matic amg coupe,136999,2020,115500,бял,бензинов,435.0,купе,софия,https://www.mobile.bg/obiava-21740067301832421-mercedes-benz-gle-53-4matic-amg-coupe,1
mercedes-benz gle 53 4matic amg,165000,2021,65000,бял,бензинов,435.0,джип,софия,https://www.mobile.bg/obiava-21731537983334965-mercedes-benz-gle-53-4matic-amg,1
mercedes-benz gle 53 4matic coupe,139999,2021,100000,черен,бензинов,435.0,купе,софия,https://www.mobile.bg/obiava-21733496324431453-mercedes-benz-gle-53-4matic-coupe,0
mercedes-benz gle 53 4matic gle 53 amg,140000,2023,64500,черен,бензинов,435.0,джип,пловдив,https://www.mobile.bg/obiava-21739025906790563-mercedes-benz-gle-53-4matic-gle-53-amg,1
mercedes-benz gle 53 4matic,172000,2022,17000,син,бензинов,435.0,джип,софия,https://www.mobile.bg/obiava-21739268180371102-mercedes-benz-gle-53-4matic,0
mercedes-benz gle 53 4matic / amg/ airmatic/ night/ 360/ distronic/ led/ 21/,147780,2023,37000,тъмно сив,бензинов,435.0,джип,софия,https://www.mobile.bg/obiava-21720165006387195-mercedes-benz-gle-53-4matic-amg-airmatic-night-360-distronic-led-21,1
mercedes-benz gle 53 4matic amg,179900,2021,38286,сив,бензинов,435.0,джип,русе,https://www.mobile.bg/obiava-21700249758616064-mercedes-benz-gle-53-4matic-amg,1
mercedes-benz gle 53 4matic amg coupe carbon burmester,188158,2021,33500,бял,бензинов,435.0,купе,софия,https://www.mobile.bg/obiava-21657887574419877-mercedes-benz-gle-53-4matic-amg-coupe-carbon-burmester,1
mercedes-benz gle 53 4matic amg coupe 4matic,156999,2021,120000,черен,бензинов,435.0,купе,софия,https://www.mobile.bg/obiava-21737376794728892-mercedes-benz-gle-53-4matic-amg-coupe-4matic,1
mercedes-benz gle 53 4matic burmester* 360* panorama 6+ 1* гаранация 2026г,158000,2023,42500,бял,бензинов,435.0,джип,пловдив,https://www.mobile.bg/obiava-21737035789172479-mercedes-benz-gle-53-4matic-burmester-360-panorama-6-1-garanatsiya-2026g,0
mercedes-benz gle 53 4matic  4matic+ coupe + amg+ pano,158758,2021,32300,бял,бензинов,435.0,купе,софия,https://www.mobile.bg/obiava-21732699135210936-mercedes-benz-gle-53-4matic-4matic-coupe-amg-pano,1
mercedes-benz gle 53 4matic amg/4matic/камера/virtual/coupe,159900,2021,40000,тъмно сив,бензинов,435.0,купе,варна,https://www.mobile.bg/obiava-21730453548701424-mercedes-benz-gle-53-4matic-amg-4matic-kamera-virtual-coupe,1
mercedes-benz gle 53 4matic amg/4matic/камера/virtual/coupe,159900,2021,40000,тъмно сив,бензинов,435.0,купе,софия,https://www.mobile.bg/obiava-21730451119880220-mercedes-benz-gle-53-4matic-amg-4matic-kamera-virtual-coupe,1
mercedes-benz gle 53 4matic / amg/ coupe/ airmatic/ 360/ head up/ night/ 22/,159980,2022,22100,черен,бензинов,435.0,купе,софия,https://www.mobile.bg/obiava-21707131224441192-mercedes-benz-gle-53-4matic-amg-coupe-airmatic-360-head-up-night-22,1
mercedes-benz gle 53 4matic airmatic*pano*widescreen*360*app*mbux,163500,2022,21000,син,бензинов,435.0,джип,пловдив,https://www.mobile.bg/obiava-21581768340682889-mercedes-benz-gle-53-4matic-airmatic-pano-widescreen-360-app-mbux,0
mercedes-benz gle 53 4matic amg burmester,164638,2023,38000,бял,бензинов,435.0,джип,софия,https://www.mobile.bg/obiava-21732696271827671-mercedes-benz-gle-53-4matic-amg-burmester,1
mercedes-benz gle 53 4matic coupe burmester multibeam light pano matt,207900,2023,23000,черен,бензинов,435.0,купе,софия,https://www.mobile.bg/obiava-21737529753867332-mercedes-benz-gle-53-4matic-coupe-burmester-multibeam-light-pano-matt,0
mercedes-benz gle 53 4matic amg* distr* tv* burm* head-up* night*,173880,2022,35600,сив,бензинов,435.0,джип,софия,https://www.mobile.bg/obiava-21740656554291516-mercedes-benz-gle-53-4matic-amg-distr-tv-burm-head-up-night,1
mercedes-benz gle 53 4matic coupe* 360* burmester* night* mbux,175500,2021,21450,тъмно сив,бензинов,435.0,купе,пловдив,https://www.mobile.bg/obiava-21581767722543949-mercedes-benz-gle-53-4matic-coupe-360-burmester-night-mbux,0
mercedes-benz gle 53 4matic 4+ coupe / premium / carbon /facelift,176398,2023,26100,черен,бензинов,435.0,купе,софия,https://www.mobile.bg/obiava-21732697004725394-mercedes-benz-gle-53-4matic-4-coupe-premium-carbon-facelift,0
mercedes-benz gle 53 4matic amg/ facelift/ night/ pano/burm/ 360/ airmatic/ 21,177780,2023,23284,черен,бензинов,435.0,джип,софия,https://www.mobile.bg/obiava-21739523671305817-mercedes-benz-gle-53-4matic-amg-facelift-night-pano-burm-360-airmatic-21,1
